string,polarity
"Even worse, he's now telling us that even if those captured in the video were found to be his students, he wouldn't reveal their identities.",-0.4
Cheung is handling the crisis poorly.,-0.4
"If somebody has acted wrongly, they should be disciplined.",-0.5
It's never right to just look the other way and pretend that everything will be hunky-dory.,-0.13392857142857142
The democracy wall has a long history in local education.,-0.025
Stop sending the wrong message that misbehavior is acceptable.,-0.5
"Please don't tell me they'll also turn a blind eye, and pretend that nothing happened!",-0.625
"Appearing on a radio show, university council chairman Frederick Ma Si-hung called on people not to tar the EdUHK student community due to “isolated incidents” on the campus.",-0.125
"In any case, it is not known if the university students were to blame for the vicious posters or some outside persons were behind the incidents, he said.",-0.4666666666666666
Chan said the matter should be treated seriously as it involves a problem of moral standards.,-0.16666666666666666
"Cheung said the university will not adopt double standard in dealing with the two posters, one of which is suspected to have been put up by a Hong Kong democracy activist and the other by a pro-Beijing individual.",-0.03125
"On Tuesday, a video by SocRec showed a student who attempted to take down Hong Kong independence posters being confronted by student union members.",-0.15555555555555559
It was widely viewed and disseminated online.,-0.1
"‘Cyber violence’  In an interview with mainland news aggregator Guancha, the student declined to give her name, only revealing that she was from northern China, and saying she was afraid that other students would be able to find her.",-0.056249999999999994
She said that she became a victim of “cyber violence” on Facebook and received threats.,-0.07500000000000001
"She claimed that the posters which were put up were against the rules, and should have been taken down.",-0.15555555555555559
Some swore and told her to “go back to China” while others said her English was terrible and that she did not understand democracy.,-0.3333333333333333
Are you fucking idiots or just a bitch!” one comment that received over a hundred likes said.,-1.0
"The death of a Sichuan student who appeared to have fallen to his death from his dorm building has sparked widespread public anger in China, causing netizens, local residents and even official media to demand answers from local authorities.",-0.175
A 14-year-old student surnamed Zhao was found dead on the ground outside a building at Taifu Middle School on Saturday.,-0.06666666666666667
"Rumours spread online after Zhao’s death, with some claiming he was bullied and killed by five classmates, and that his body was covered with bruises, with his arms and legs broken.",-0.30000000000000004
"The local government announced on Monday that it had arrested four people for allegedly spreading rumours about Zhao’s death through QQ chat groups, WeChat official accounts and other online avenues.",-0.075
"Protests Despite efforts to halt rumours, Weibo users, local citizens and official media outlets continued to criticise the local authorities for their handling of the case and the questions that remained unanswered.",-0.03333333333333333
"One local resident told RFA on Wednesday that the crowds had thinned out following efforts by the police, but that there were still at least one to two hundred people at the school, along with a heavy police presence.",-0.125
"Criticism Xinhua, China’s official news agency, raised questions about Zhao’s death on Thursday morning in a sharp critique of local authorities’ handling of the incident.",-0.0625
"“According to the notice, if the authorities have already determined whether the child committed suicide or was killed by others before the autopsy results have come out, then what is the point of conducting an autopsy?” it said.",-0.2
"One verified Weibo user – Zhao Jian, the director of a law firm in Beijing – posted about the incident, saying: “We need the truth!",-0.25
"The word ‘trust’ is powerful and fragile – if trust collapses, this will become a frightening world.” Another user cited by Xinhua’s report said: “Falling from a height is only the cause of death – when did it become evidence eliminating the possibility that it was done by someone else?",-0.05
"A poster mocking the death of Chinese dissident Liu Xiaobo has appeared on the campus of the Education University, two days after a similar poster mocking the death of a local official’s son was widely condemned and removed.",-0.025
"“If they were outsiders, we we’ll put them online to tell everyone that it’s these two men who did such shocking things,” he added.",-0.5
"“Even if the posters were pasted up by Education University students, what does it have to do with other students?” she said.",-0.125
"Zhang Yang, a member of the Central Military Commission, hanged himself in his Beijing home on November 23, the official Xinhua news agency said, citing a commission statement.",-0.05
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"On January 24, Ronald Chin, president of the Hong Kong Baptist University, announced the suspension of two BU students who, on January 17, went with other students to the Language Centre to protest against the unfairness of the University’s requirement that students to pass a Putonghua exam as a graduation prerequisite.",-0.125
"Chin alleged that the two students had threatened teachers at the centre physically and verbally but – as can be seen from the video record – only one student uttered a Cantonese word meaning “dick”, and no students used any violence.",-0.03333333333333333
"Quite a few Hong Kong netizens regard this policy as promotion of Chinese colonisation, in view of the fact that Tibetans and Uygurs are forbidden to speak or write their mother language at schools in China.",-0.1
"On January 17, a few students, including Lau Chi-kei, chair of the HKBU Student Union, and Chan Lok-hang, a final year Chinese medicine student, went to the Language Centre of the Baptist University to ask the staff to explain how they assessed the students’ Putonghua and to produce the rubrics concerned.",-0.06666666666666667
"Then, Lau Chi-kei uttered the Cantonese word, lan2卵, which means dick – literally, in the following sentence: “You said you wouldn’t the dick respond – wouldn’t respond to the students’ demands.” But as can be seen from the video, none of the students present at the scene uttered any other swearwords.",-0.041666666666666664
"Unexpectedly, on the afternoon of the same day, the president of Baptist University announced temporary suspensions for both students for having breached the code of conduct by orally insulting and physically threatening teaching staff of the university.",-0.225
"They condemned the HKBU president for confounding right and wrong, for paying no heed to students’ studies and safety.",-0.10714285714285715
"Plus, the president has never sent any other word of comfort or reassurance to Chan.",-0.125
"Lau and Chan said: “We are now forced to take a path of no return; from now on, we will struggle for students’ rights and welfare without care!” The languages that should be grasped as one of the requirements of graduation are written Chinese and English.",-0.12500000000000003
"Contrastingly, Putonghua is an artificial language imposed by the Chinese Communist Party on Mainland Chinese.",-0.19999999999999998
"Due to the mandatory state policy of using Putonghua as the teaching medium at school, Cantonese on the Chinese Mainland has been deteriorating.",-0.0625
"He is a translator, a linguist, and a green, vegan activist.",-0.2
"And among the 75 deaths by unnatural causes, 20 of them were caused by suicides, with the youngest victim aged only 11.",-0.05833333333333334
"Among these 20 suicide cases, 14 victims had shown suicidal signs such as emotional volatility and violent behavior before they ended their own lives.",-0.05000000000000002
"For example, over the years I have been calling upon the government to implement the so-called one-school-one-nurse policy in our schools, under which there would be at least one registered psychiatric nurse (RPN) stationed in every primary and secondary school across our city.",-0.06666666666666665
"And if necessary, the RPN can also refer students who need help to public mental health clinics run by the Hospital Authority (HA).",-0.03333333333333333
"On the other hand, the RPN can also offer teachers and parents professional advice on how to meet the emotional needs of students and how to guide those who are struggling with emotional problems or stress-related depression.",-0.006249999999999999
"I learned that the Food and Health Bureau, the Education Bureau as well as the Social Welfare Department jointly launched the Student Mental Health Support Pilot Scheme last year, under which the HA sent two RPNs to each of the nine local schools that volunteered to take part in the scheme.",-0.01666666666666667
"On the other hand, since the introduction of the HKDSE (Hong Kong Diploma of Secondary Education), the average age of university freshmen in our city has dropped, calling into question their ability to manage study-related stress.",-0.19166666666666665
"Compared with these expectations, I believe HK$2,000 is relatively small.” In 2011, then-financial secretary John Tsang launched a scheme whereby permanent residents aged over 18 could receive a one-off HK$6,000 payment.",-0.175
